	Steps	Greedy	1% Greedy	5% Greedy	BBB		 BBB (All Steps)
Step	6940	5960	6655	7575	2065		635
Step	6950	5960	6655	7585	2065		635
Step	6960	5965	6665	7600	2065		635
Step	6970	5970	6675	7610	2065		635
Step	6980	5975	6685	7625	2065		635
Step	6990	5975	6685	7630	2065		635
Step	7000	5975	6685	7625	2100		635
Step	7010	5975	6685	7625	2100		635
Step	7020	5980	6690	7630	2100		635
Step	7030	5980	6690	7640	2105		635
Step	7040	5980	6690	7640	2105		635
Step	7050	5975	6685	7640	2105		635
Step	7060	5975	6720	7655	2105		635
Step	7070	5975	6720	7655	2100		635
Step	7080	6010	6760	7665	2100		635
Step	7090	6010	6760	7670	2100		635
Step	7100	6010	6760	7675	2100		635
Step	7110	6015	6770	7685	2100		635
Step	7120	6015	6770	7695	2095		635
