,5%Greedy_1 0.00001,5%Greedy_2 0.00001,5%Greedy_3 0.00001,5%Greedy_4 0.00001
1055,1830,1635,1470,1275
1056,1830,1635,1465,1275
1057,1830,1635,1465,1275
1058,1830,1635,1465,1275
1059,1830,1635,1465,1275
1060,1830,1635,1465,1275
1061,1830,1635,1500,1275
1062,1830,1635,1535,1275
1063,1830,1635,1535,1275
1064,1825,1630,1530,1275
1065,1825,1635,1530,1275
1066,1825,1635,1530,1275
1067,1825,1635,1530,1275
1068,1825,1635,1530,1275
1069,1825,1635,1530,1275
1070,1825,1635,1525,1275
1071,1825,1635,1525,1275
1072,1825,1635,1525,1275
1073,1825,1635,1525,1275
1074,1825,1635,1525,1275
1075,1825,1635,1525,1275
1076,1825,1640,1525,1275
1077,1825,1640,1525,1275
1078,1825,1640,1525,1275
1079,1825,1640,1525,1275
1080,1825,1640,1525,1275
1081,1825,1640,1525,1275
1082,1825,1640,1525,1275
1083,1830,1640,1525,1275
1084,1835,1645,1525,1275
1085,1835,1645,1525,1275
1086,1835,1645,1525,1275
1087,1835,1645,1525,1275
1088,1835,1645,1525,1275
1089,1835,1645,1525,1275
1090,1835,1680,1525,1270
1091,1835,1680,1525,1270
1092,1835,1680,1525,1270
1093,1835,1680,1525,1270
1094,1835,1680,1525,1270
1095,1835,1680,1520,1270
1096,1835,1680,1520,1270
1097,1835,1715,1520,1270
1098,1835,1715,1520,1270
1099,1835,1715,1520,1270
1100,1835,1715,1520,1270
1101,1835,1715,1520,1270
1102,1835,1715,1520,1270
1103,1835,1715,1520,1270
1104,1835,1715,1520,1270
1105,1835,1750,1520,1270
1106,1835,1750,1520,1265
1107,1835,1755,1520,1265
1108,1835,1755,1520,1265
1109,1835,1755,1520,1265
1110,1835,1755,1520,1265
1111,1835,1755,1520,1265
1112,1835,1755,1520,1265
1113,1835,1755,1520,1265
1114,1835,1755,1520,1265
1115,1840,1760,1520,1265
1116,1845,1765,1520,1270
1117,1845,1765,1520,1275
1118,1845,1765,1520,1275
1119,1845,1765,1520,1275
1120,1845,1765,1520,1275
1121,1845,1765,1520,1275
1122,1845,1765,1520,1275
1123,1845,1800,1515,1275
1124,1845,1800,1515,1310
1125,1845,1800,1515,1310
1126,1845,1800,1515,1310
1127,1845,1800,1515,1310
1128,1845,1800,1515,1310
1129,1845,1800,1515,1310
1130,1880,1800,1515,1310
