,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
1133,980,825,2205,1015
1134,980,820,2205,1015
1135,980,820,2205,1015
1136,980,820,2205,1015
1137,980,820,2205,1015
1138,980,820,2205,1015
1139,980,820,2205,1015
1140,980,820,2205,1015
1141,980,820,2205,1015
1142,980,820,2210,1015
1143,980,820,2210,1015
1144,980,820,2210,1015
1145,980,820,2210,1015
1146,980,820,2215,1015
1147,980,820,2215,1015
1148,980,820,2220,1015
1149,980,820,2220,1015
1150,980,820,2220,1015
1151,980,820,2220,1015
1152,980,820,2225,1015
1153,980,820,2225,1015
1154,980,820,2225,1015
1155,980,820,2225,1015
1156,980,820,2225,1015
1157,980,820,2225,1015
1158,980,820,2225,1015
1159,980,820,2225,1015
1160,980,820,2230,1015
1161,980,820,2230,1015
1162,980,820,2230,1015
1163,980,820,2230,1015
1164,980,820,2230,1015
1165,980,820,2235,1015
1166,980,820,2235,1015
1167,980,820,2235,1015
1168,980,820,2235,1015
1169,980,820,2235,1015
1170,980,820,2235,1015
1171,980,820,2235,1015
1172,980,815,2235,1015
1173,980,815,2235,1015
1174,980,815,2235,1015
1175,980,815,2235,1015
1176,980,815,2235,1015
1177,980,815,2235,1015
1178,980,815,2235,1015
1179,980,815,2235,1015
1180,980,815,2235,1015
1181,980,815,2235,1015
1182,980,815,2240,1015
1183,980,815,2240,1015
1184,980,815,2240,1015
1185,980,815,2240,1015
1186,980,815,2240,1015
1187,980,815,2240,1015
1188,980,815,2240,1015
1189,980,815,2240,1015
1190,980,815,2240,1015
1191,980,815,2240,1015
1192,980,815,2245,1015
1193,980,815,2250,1015
1194,980,815,2250,1015
1195,980,815,2255,1015
1196,980,815,2255,1015
1197,980,815,2255,1015
1198,980,815,2255,1015
1199,980,810,2255,1015
1200,980,810,2255,1015
1201,980,810,2255,1015
1202,980,810,2290,1015
1203,980,810,2295,1015
1204,980,805,2295,1015
1205,980,805,2295,1015
1206,980,805,2300,1015
1207,980,805,2300,1015
1208,980,805,2305,1015
1209,980,805,2305,1015
1210,980,805,2305,1015
1211,980,805,2310,1015
1212,980,805,2310,1015
1213,980,805,2310,1015
1214,980,805,2315,1015
1215,980,805,2315,1015
1216,980,805,2315,1015
1217,980,805,2315,1015
1218,980,805,2315,1015
1219,980,805,2320,1020
1220,980,805,2320,1020
1221,980,805,2320,1020
1222,980,805,2320,1020
1223,980,805,2315,1020
1224,980,805,2315,1020
1225,980,805,2315,1020
1226,980,805,2315,1020
1227,980,805,2315,1020
1228,980,805,2315,1020
1229,980,805,2315,1020
1230,980,805,2315,1020
1231,980,805,2315,1020
1232,980,805,2315,1020
1233,980,805,2315,1020
1234,980,805,2315,1020
1235,980,805,2315,1020
1236,980,805,2315,1020
